Pais,gastoedu,profxes
Afganistan,4.06,33.50124
Albania,2.47,11.19927
Alemania,4.8,11.97424
Andorra,3.23,8.01599
Angola,3.42,26.76619
Antigua y Barbuda,2.52,9.29704
Arabia Saudita,5.14,11.52893
Argelia,4.34,
Argentina,5.46,9.54885
Armenia,2.71,8.01689
Australia,5.27,
Austria,5.5,9.32983
Azerbaiyan,2.47,
Bahamas,2.23,12.48097
Bahrein,2.33,10.23948
Bangladesh,1.99,35.09524
Barbados,4.66,17.93859
Belarus,,8.56276
Belgica,6.55,8.98821
Belice,7.38,16.72317
Benin,4.04,10.99168
Bermudas,,6.33229
Bhutan,,10.81456
Bielorrusia,4.79,
Birmania - Myanmar,1.97,
Bolivia,7.29,18.49627
Bosnia y Herzegovina,,9.1229
Botswana,9.63,
Brasil,6.24,16.72391
Brunei,4.43,8.26843
Bulgaria,4.08,12.63651
Burkina Faso,6.04,23.11995
Burundi,5.01,26.59842
Butan,6.64,
Cabo Verde,5.17,15.42052
Camboya,2.16,
Camerun,3.15,19.25706
Canada,5.27,
Catar,2.86,11.04303
Chad,2.24,27.13412
Chile,5.4,18.36688
China,1.89,13.25879
Chipre,6.29,8.31131
Colombia,4.5,25.91073
Comoras,2.49,8.30834
Corea del Sur,4.59,13.26544
Costa de Marfil,4.37,
Costa Rica,7.03,12.42779
Côte d'Ivoire,,27.28114
Croacia,4.56,6.73221
Cuba,12.84,9.63133
Curacao,,
Dinamarca,7.63,11.29034
Dominica,3.39,10.69423
Ecuador,5,20.62112
Egipto,3.76,15.16281
El Salvador,3.6,27.55579
Emiratos Árabes Unidos,1.11,
Eritrea,2.13,35.02165
Eslovaquia,3.9,
Eslovenia,4.8,9.69943
España,4.21,11.56883
Estado de Palestina,5.25,
Estados Federados de Micronesia,12.46,
Estados Unidos,4.96,14.62452
Estonia,5.17,9.18187
Eswatini,,15.54522
Etiopia,4.74,40.35064
Filipinas,2.65,23.88062
Finlandia,6.9,13.57979
Fiyi,3.88,19.2926
Francia,5.46,12.9392
Gabon,2.67,
Gambia,2.43,
Georgia,3.85,7.57537
Ghana,3.99,16.01642
Gibraltar,,15.04762
Granada,3.17,12.81206
Grecia,3.96,8.55985
Groenlandia,,
Guam,,
Guatemala,2.93,10.49312
Guinea,2.57,33.13554
Guinea-Bissau,2.13,
Guinea Ecuatorial,0.72,
Guyana,5.89,20.29138
Haiti,2.78,
Honduras,6.08,16.65963
Hong Kong,3.32,11.22247
Hungria,4.71,10.01652
India,3.84,28.52287
Indonesia,3.58,
Iran,3.96,19.00886
Iraq,3.55,
Irlanda,3.72,
Islandia,7.46,
Islas Caiman,,10.9653
Islas del Canal,,
Islas Feroe,,
Islas Marshall,12.24,
Islas Salomon,9.86,25.92408
Israel,5.85,
Italia,3.83,9.98461
Jamaica,5.41,16.69828
Japon,3.19,11.11967
Jordania,3.59,12.26127
Kazajistan,2.75,6.95898
Kenia,5.32,
Kirguistan,6.03,10.64648
Kiribati,11.99,
Kosovo,,
Kuwait,3.76,7.58836
Laos,2.94,
Lesotho,6.51,25.34293
Letonia,4.72,8.2712
Libano,2.43,7.67398
Liberia,2.58,18.39079
Libia,2.26,
Liechtenstein,2.56,9.55752
Lituania,4.01,7.80821
Luxemburgo,3.96,8.82794
Macedonia del Norte,3.3,8.74033
Madagascar,3.23,19.29784
Malasia,4.53,11.40208
Malawi,4.71,72.31002
Maldivas,4.07,
Mali,3.79,17.43224
Malta,5.2,7.11247
Marruecos,6.25,
Mauricio,4.83,10.9886
Mauritania,2.63,25.9167
Mexico,4.91,16.85759
Moldavia,5.51,
Monaco,1.46,8.54364
Mongolia,4.09,14.49262
Montenegro,,
Mozambique,5.6,36.54379
Myanmar,,27.24679
Namibia,3.1,
Nauru,4.91,24.8
Nepal,5.16,28.82411
Nicaragua,4.34,30.83047
Niger,4.92,29.73171
Nigeria,3.06,23.19708
Noruega,7.98,8.57685
Nueva Caledonia,,
Nueva Zelanda,6.44,13.62875
Oman,6.67,10.21867
Paises Bajos,5.48,14.51694
Pakistan,2.9,20.39658
Palau,7.58,
Panama,3.16,13.5809
Papua Nueva Guinea,1.93,34.2964
Paraguay,3.44,18.4041
Peru,3.72,14.20042
Polonia,4.64,9.09854
Portugal,4.88,9.51599
Puerto Rico,,17.15997
Reino Unido,5.49,16.61873
Republica Arabe Siria,,
Republica Centroafricana,1.11,31.63737
Republica Checa,5.59,11.54847
Republica de Moldova,,9.86318
Republica del Congo,3.64,
Republica Democratica del Congo,1.45,
Republica Dominicana,3.74,18.64652
Republica Eslovaca,,11.06981
Ruanda,3.11,28.24773
Rumania,2.97,12.07981
Rusia,3.74,8.76378
Saint Kitts y Nevis,,7.9222
Samoa,4.08,21.46821
San Cristobal y Nieves,2.61,
San Marino,3.15,5.84099
San Vicente y las Granadinas,5.68,13.8727
Santa Lucia,3.68,11.14556
Santo Tome y Principe,5.15,24.82051
Senegal,4.65,18.88356
Serbia,3.72,7.946
Seychelles,4.42,10.7789
Sierra Leona,7.14,22.04465
Singapur,2.85,11.47558
Siria,5.13,
Somalia,1.28,
Sri Lanka,2.11,17.52875
Suazilandia,7.13,
Sudafrica,6.16,27.61705
Sudan,2.22,
Sudan del Sur,0.98,27.47489
Suecia,7.67,13.07043
Suiza,5.11,9.82943
Suriname,,11.97658
Tailandia,4.12,25.94603
Tanzania,3.7,20.86254
Tayikistan,5.23,15.43893
Timor Oriental,4.13,
Togo,5.43,26.24584
Tonga,3.91,14.5488
Trinidad y Tobago,3.14,
Tunez,6.6,13.62495
Turkmenistan,3.05,
Turquia,4.29,17.34797
Tuvalu,3.73,8.64286
Ucrania,5.41,7.33711
Uganda,2.52,
Uruguay,4.84,12.65841
Uzbekistan,5.28,10.32977
Vanuatu,4.7,20.568
Venezuela,6.87,
Vietnam,4.17,
Yemen,5.15,
Yibuti,5.56,25.41709
Zambia,4.67,
Zimbabue,4.6,22.48353
